app_id,franchise_name,steamdb_score,pub_link,dev_link
657470,NA,47.31%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=astragon+Entertainment,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Jujubee+S.A.
591960,NA,72.14%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Kongregate,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Synapse+Games
460930,NA,76.61%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Ubisoft,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Ubisoft+Paris
493710,NA,48.71%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Flynn%27s+Arcade,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Flynn%27s+Arcade
592030,NA,75.47%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Second+Wind+Interactive,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Second+Wind+Interactive
592040,NA,66.62%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Essence+Worldcrafter,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Essence+Worldcrafter
657630,NA,77.90%,NA,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Cloud+AceGamer
690400,NA,73.19%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=AMG+GAMES,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=AMG+GAMES
592130,NA,59.37%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=4FreaksFiction,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=4FreaksFiction
493840,NA,60.19%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Capcom,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Capcom
657690,NA,85.88%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Victorian+Clambake,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Victorian+Clambake
690560,NA,80.27%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Magic+Item+Tech,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Magic+Item+Tech
592270,NA,85.82%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Fruitbat+Factory,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=DeathMofuMofu
592320,2/name VR Escape the Room,56.10%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Blue+Entropy+Studios,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Blue+Entropy+Studios
592330,NA,57.82%,NA,NA
592340,NA,54.86%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Games%2B%2B,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Games%2B%2B
461280,NA,69.91%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Opium+Pulses+Entertainment,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Ryan+Silberman
